	logFC	logCPM	PValue
B0261.1	0	8.5	1
B0261.4	0	5.37	1
B0261.7	0	8.04	1
B0272.3	0	7.23	1
B0273.3	0	3.56	1
B0280.9	0	7.14	1
B0281.5	0	4.9	1
B0285.3	0	5.86	1
B0285.4	0	7.24	1
B0303.14	0	4.22	1
B0303.15	0	6.16	1
B0303.3	0	8.08	1
B0303.4	0	8.75	1
B0303.7	0	5.35	1
B0304.2	0	6.43	1
B0304.4	0	6.71	1
B0310.2	0	4.4	1
B0334.15	0	3.96	1
B0334.3	0	6.1	1
B0334.4	0	7.77	1
B0334.5	0	5.85	1
B0336.13	0	6.8	1
B0336.3	0	7.99	1
B0336.5	0	8.01	1
B0336.7	0	5.97	1
B0361.2	0	7.7	1
B0361.3	0	8.35	1
B0361.6	0	7.6	1
B0361.8	0	8.46	1
B0361.9	0	5.87	1
B0365.1	0	7.2	1
B0379.1	0	3.06	1
B0391.8	0	3.51	1
B0393.3	0	9.49	1
B0393.6	0	8.32	1
B0395.3	0	6.18	1
B0412.3	0	7.66	1
B0416.4	0	6.68	1
B0416.5	0	8.42	1
B0432.10	0	5.82	1
B0432.13	0	6.87	1
B0432.14	0	2.91	1
B0432.6	0	5.29	1
B0432.8	0	4.76	1
B0454.9	0	4.88	1
B0464.2	0	8.31	1
B0464.6	0	8.68	1
B0464.9	0	7.06	1
B0491.5	0	7.47	1
B0491.6	0	7.7	1
B0495.2	0	8.31	1
B0495.5	0	6.36	1
B0495.6	0	3.97	1
B0495.7	0	8.15	1
B0495.8	0	6.84	1
B0495.9	0	7.63	1
B0507.2	0	6.16	1
B0511.12	0	7.88	1
B0511.13	0	7.12	1
B0511.6	0	7.54	1
B0511.7	0	6.98	1
B0513.2	0	6.38	1
B0546.2	0	7.32	1
B0546.4	0	5.19	1
B0564.11	0	5.93	1
B0564.2	0	4.31	1
B0564.7	0	7.03	1
baf-1	0	7.11	1
bag-1	0	6.57	1
bath-1	0	4.18	1
bath-10	0	2.72	1
bath-15	0	6.62	1
bath-2	0	5.96	1
bath-21	0	2.84	1
bath-27	0	5.26	1
bath-28	0	3.11	1
bath-29	0	5.35	1
bath-30	0	5.82	1
bath-36	0	4.19	1
bath-38	0	7.86	1
bath-39	0	6.79	1
bath-4	0	5.07	1
bath-40	0	7.85	1
bath-41	0	8.32	1
bath-42	0	9.23	1
bath-43	0	8.2	1
bath-44	0	7.79	1
bath-5	0	4.52	1
bath-6	0	4.57	1
bbs-5	0	3.2	1
bca-1	0	4.99	1
bca-2	0	5.71	1
bcmo-2	0	4.25	1
bcs-1	0	7.8	1
BE0003N10.1	0	5.57	1
bec-1	0	6.21	1
bed-1	0	4.5	1
bed-2	0	3.44	1
bed-3	0	4.25	1
ben-1	0	4.43	1
bet-1	0	3.64	1
bet-2	0	6.45	1
bir-1	0	6.85	1
bir-2	0	6.61	1
bli-3	0	5.26	1
bli-4	0	9.42	1
bmk-1	0	6.17	1
bmy-1	0	6.71	1
bra-1	0	4.27	1
bra-2	0	7.69	1
brc-1	0	6.06	1
brc-2	0	6.99	1
brd-1	0	7.62	1
bre-3	0	6.3	1
bre-4	0	5.3	1
bre-5	0	6.69	1
brf-1	0	8.49	1
btb-19	0	5.47	1
btb-4	0	3.21	1
btb-6	0	5.38	1
btb-7	0	2.69	1
btf-1	0	6.23	1
bub-1	0	8.05	1
bub-3	0	8.23	1
bus-4	0	3.28	1
byn-1	0	6.97	1
C01A2.3	0	6.74	1
C01A2.4	0	5.48	1
C01A2.5	0	8.59	1
C01B10.8	0	7.83	1
C01B10.9	0	7.8	1
C01B12.2	0	4.68	1
C01B12.8	0	7.16	1
C01B12.9	0	3.87	1
C01F1.1	0	8.08	1
C01F1.4	0	2.63	1
C01F1.6	0	6.43	1
C01F6.9	0	4.84	1
C01G10.10	0	6.6	1
C01G10.7	0	6.56	1
C01G10.8	0	8.46	1
C01G12.1	0	4.34	1
C01G12.3	0	4.53	1
C01G5.5	0	6.4	1
C01G5.6	0	8.11	1
C01G6.3	0	8.65	1
C01G6.4	0	6.26	1
C01G6.5	0	8.78	1
C01G8.1	0	9.08	1
C01G8.6	0	6.53	1
C01H6.3	0	4.93	1
C01H6.9	0	7.64	1
C02B10.2	0	5.91	1
C02B10.4	0	7.85	1
C02B10.5	0	5.2	1
C02B8.6	0	6.1	1
C02C6.3	0	3.62	1
C02D5.2	0	3.61	1
C02D5.4	0	6.43	1
C02F12.8	0	6.56	1
C02F5.12	0	7.04	1
C02F5.13	0	6.8	1
C02F5.3	0	7.04	1
C02F5.6	0	8.07	1
C02F5.7	0	4.25	1
C03A3.2	0	8.18	1
C03B1.7	0	4.5	1
C03C10.4	0	7.17	1
C03H12.1	0	5.27	1
C03H5.2	0	5.99	1
C03H5.3	0	8.84	1
C04A11.2	0	4.88	1
C04B4.2	0	8.4	1
C04C3.3	0	7.6	1
C04E6.11	0	7.08	1
C04F12.1	0	7.42	1
C04F12.5	0	2.75	1
C04F5.8	0	5.7	1
C04F5.9	0	6.14	1
C04G6.4	0	7.78	1
C05C10.2	0	8.09	1
C05C10.3	0	7.76	1
C05C10.5	0	9.68	1
C05C10.7	0	4.62	1
C05C8.1	0	6.43	1
C05C8.2	0	6.43	1
C05C8.5	0	8.09	1
C05C8.6	0	7.63	1
C05D10.1	0	6.45	1
C05D10.4	0	3.2	1
C05D11.1	0	7.9	1
C05D11.10	0	5.26	1
C05D11.13	0	4.95	1
C05D11.7	0	8.32	1
C05D11.8	0	5.22	1
C05D11.9	0	7.92	1
C05D2.10	0	6.56	1
C05D2.11	0	3.12	1
C05D2.6	0	7.27	1
C05D9.7	0	5.59	1
C05E11.3	0	5.74	1
C05G5.2	0	5.98	1
C05G5.4	0	6.66	1
C06A1.4	0	8.57	1
C06A5.1	0	3.2	1
C06A5.2	0	3.73	1
C06A5.3	0	8.62	1
C06A5.6	0	7.69	1
C06A5.8	0	5.87	1
C06A6.2	0	6.36	1
C06A6.4	0	7.63	1
C06A6.5	0	4.44	1
C06A8.1	0	8.67	1
C06A8.2	0	8.77	1
C06A8.3	0	6.2	1
C06B3.6	0	3.29	1
C06B8.7	0	2.63	1
C06E1.1	0	4.5	1
C06E1.9	0	6.58	1
C06E2.5	0	4.27	1
C06E7.4	0	5.03	1
C06G3.5	0	4.89	1
C06G3.6	0	7.18	1
C06G3.8	0	5.64	1
C06G3.9	0	4.19	1
C06G4.1	0	8.46	1
C06H2.2	0	5.57	1
C06H2.3	0	6.6	1
C06H2.6	0	6.67	1
C06H2.7	0	8.23	1
C07A12.7	0	3.12	1
C07A9.2	0	6.43	1
C07A9.9	0	4.44	1
C07D10.5	0	4.78	1
C07D8.6	0	7.7	1
C07E3.6	0	6.08	1
C07H6.2	0	5.31	1
C07H6.4	0	8.15	1
C08A9.6	0	5.28	1
C08B11.3	0	8.34	1
C08B11.6	0	7.89	1
C08B11.8	0	7.42	1
C08B11.9	0	4.75	1
C08B6.7	0	8.72	1
C08B6.8	0	6.83	1
C08C3.4	0	7.7	1
C08F8.2	0	7.64	1
C08F8.3	0	7.49	1
C08G9.2	0	4.84	1
C08H9.16	0	5.83	1
C08H9.2	0	9.56	1
C08H9.3	0	5.59	1
C09B7.2	0	4.87	1
C09B8.4	0	3.53	1
C09B8.5	0	6.44	1
C09D4.1	0	2.86	1
C09D4.4	0	7.63	1
C09E7.4	0	6.15	1
C09E7.8	0	4.79	1
C09E8.1	0	6.21	1
C09E9.1	0	4.55	1
C09F5.1	0	6.95	1
C09G1.4	0	2.75	1
C09G4.4	0	6.39	1
C09G9.1	0	7.66	1
C09G9.2	0	8.28	1
C09H10.10	0	5.24	1
C10C5.1	0	6.6	1
C10C6.6	0	9.55	1
C10E2.6	0	7.67	1
C10F3.4	0	4.49	1
C10G11.7	0	8.84	1
C10H11.8	0	3.09	1
C11D2.4	0	7.43	1
C11D2.7	0	4.69	1
C11H1.2	0	3.54	1
C11H1.3	0	7.28	1
C11H1.7	0	4.03	1
C12D8.1	0	7.52	1
C13B4.1	0	7.21	1
C13B9.2	0	2.84	1
C13B9.3	0	8.51	1
C13C4.4	0	5.77	1
C13C4.5	0	3.16	1
C13F10.2	0	3.84	1
C13F10.4	0	8.03	1
C13F10.5	0	5.59	1
C13F10.6	0	7.99	1
C13F10.7	0	8.04	1
C13G5.2	0	7.36	1
C14A11.9	0	5.9	1
C14A4.11	0	7.77	1
C14A4.14	0	5.84	1
C14A4.3	0	7.59	1
C14B1.10	0	4.2	1
C14B1.12	0	5.38	1
C14B1.2	0	7.26	1
C14B1.3	0	7.09	1
C14B1.6	0	6.82	1
C14B1.7	0	4.6	1
C14B1.8	0	7.09	1
C14B1.9	0	8.5	1
C14B9.10	0	4.61	1
C14B9.2	0	7.3	1
C14B9.8	0	6.28	1
C14C10.4	0	6.56	1
C14C10.5	0	9.07	1
C14C10.6	0	6.18	1
C14C11.2	0	6.39	1
C14C11.7	0	4.55	1
C14F11.1	0	8.62	1
C14F11.2	0	3.5	1
C14H10.3	0	3.21	1
C15B12.6	0	6.54	1
C15C6.4	0	5.95	1
C15C7.5	0	5.23	1
C15C7.7	0	5.6	1
C15C8.4	0	7.1	1
C15C8.7	0	5.72	1
C15F1.5	0	2.77	1
C15H11.8	0	6.47	1
C15H9.4	0	2.63	1
C15H9.5	0	6.36	1
C16A11.10	0	5.6	1
C16A11.2	0	7.55	1
C16A11.4	0	7.21	1
C16A3.1	0	5.91	1
C16A3.10	0	6.67	1
C16A3.2	0	5.84	1
C16A3.4	0	7.49	1
C16A3.5	0	5.96	1
C16A3.6	0	4.17	1
C16C10.1	0	5.88	1
C16C10.13	0	2.97	1
C16C10.2	0	6.5	1
C16C10.3	0	9.43	1
C16C10.4	0	7.15	1
C16C10.8	0	3.77	1
C16C2.4	0	8.17	1
C16C8.11	0	5.89	1
C16C8.12	0	5.11	1
C16C8.14	0	4.96	1
C16C8.16	0	5.82	1
C16C8.4	0	5.85	1
C16C8.5	0	3.5	1
C16D9.6	0	3.9	1
C16E9.2	0	7.17	1
C16H3.3	0	5	1
C17C3.1	0	4.29	1
C17D12.1	0	6.32	1
C17D12.7	0	3.19	1
C17E4.10	0	8.06	1
C17E4.11	0	4.92	1
C17E4.2	0	4.66	1
C17E4.3	0	8.49	1
C17E4.4	0	5.91	1
C17E4.6	0	7.84	1
C17E7.12	0	5.07	1
C17E7.4	0	7.8	1
C17E7.9	0	6.49	1
C17F4.8	0	3.55	1
C17G10.1	0	8.31	1
C17G10.2	0	8.23	1
C17G10.9	0	8.67	1
C17H11.2	0	7.61	1
C17H11.6	0	5.38	1
C17H12.13	0	7.73	1
C17H12.2	0	4.5	1
C18A3.1	0	7.03	1
C18A3.2	0	5.58	1
C18A3.3	0	7.3	1
C18B12.4	0	7.12	1
C18B12.6	0	7.93	1
C18B2.4	0	4.66	1
C18C4.5	0	5.97	1
C18D11.3	0	6.03	1
C18E3.2	0	7.71	1
C18E3.3	0	7.44	1
C18E3.5	0	6.64	1
C18E3.9	0	8.33	1
C18E9.10	0	6.57	1
C18E9.2	0	9.43	1
C18E9.4	0	5.3	1
C18F10.7	0	8.43	1
C18H2.2	0	4.91	1
C23F12.4	0	6.29	1
C23G10.2	0	5	1
C23G10.7	0	8.17	1
C23G10.8	0	7.99	1
C23H3.3	0	5.96	1
C23H3.5	0	7.38	1
C24A1.3	0	4.43	1
C24A11.1	0	4.28	1
C24D10.4	0	6.77	1
C24D10.5	0	6.28	1
C24D10.6	0	5.88	1
C24F3.2	0	6.74	1
C24G6.8	0	7.1	1
C24H10.2	0	6.59	1
C24H12.4	0	6.53	1
C24H12.5	0	6.64	1
C25A1.1	0	6.52	1
C25A1.12	0	7.6	1
C25A1.13	0	5.34	1
C25A1.16	0	5.14	1
C25A1.4	0	8.43	1
C25A1.5	0	8.72	1
C25A11.2	0	7.24	1
C25D7.10	0	3.78	1
C25F6.1	0	6.24	1
C25G4.2	0	4.41	1
C25G4.3	0	5.98	1
C25G6.4	0	3.95	1
C25H3.12	0	3.38	1
C25H3.14	0	5.23	1
C25H3.3	0	4.6	1
C25H3.4	0	7.67	1
C25H3.7	0	6.16	1
C25H3.8	0	7.12	1
C25H3.9	0	7.41	1
C26B2.7	0	6.98	1
C26D10.3	0	4.27	1
C26E6.12	0	7.49	1
C26E6.3	0	5.34	1
C26E6.6	0	5.91	1
C26F1.3	0	5.87	1
C26H9A.2	0	5.11	1
C27A12.2	0	9.01	1
C27A12.6	0	8.19	1
C27A12.7	0	8.77	1
C27A12.9	0	5.97	1
C27A7.5	0	6.8	1
C27A7.6	0	5.42	1
C27B7.2	0	5.74	1
C27B7.5	0	7.2	1
C27C12.1	0	4.35	1
C27C12.3	0	6.88	1
C27C12.4	0	7.6	1
C27C7.1	0	6.3	1
C27D6.4	0	6.68	1
C27D8.4	0	6.09	1
C27D9.1	0	7.51	1
C27F2.10	0	8.29	1
C27F2.4	0	6.07	1
C27F2.7	0	3.67	1
C27F2.8	0	9.35	1
C27F2.9	0	8.4	1
C27H6.3	0	8.76	1
C27H6.8	0	7.92	1
C27H6.9	0	5.28	1
C28A5.1	0	7.58	1
C28A5.2	0	7.29	1
C28C12.12	0	8.43	1
C28H8.1	0	6.64	1
C28H8.3	0	8.03	1
C28H8.4	0	7.81	1
C28H8.9	0	7.99	1
C29A12.1	0	7.18	1
C29E4.12	0	6.51	1
C29E4.13	0	7.32	1
C29E4.15	0	6.6	1
C29E4.9	0	2.75	1
C29F7.3	0	4.57	1
C29H12.2	0	8.74	1
C29H12.5	0	6.27	1
C30A5.3	0	8.42	1
C30B5.2	0	7.47	1
C30B5.4	0	7.8	1
C30C11.1	0	4.59	1
C30C11.4	0	8.5	1
C30F12.2	0	7.5	1
C30F12.4	0	9.9	1
C30F12.5	0	4.36	1
C30G12.6	0	7.09	1
C30H6.7	0	6.83	1
C30H6.8	0	4.81	1
C30H6.9	0	5.84	1
C30H7.2	0	7.38	1
C31C9.2	0	6.27	1
C31E10.5	0	6.74	1
C31E10.6	0	4.09	1
C31G12.1	0	4.27	1
C31H1.8	0	8.39	1
C31H5.4	0	4.42	1
C32A3.2	0	3.53	1
C32A3.3	0	8.44	1
C32D5.10	0	6.91	1
C32D5.11	0	8.13	1
C32D5.3	0	7.59	1
C32D5.7	0	3.82	1
C32D5.8	0	3.86	1
C32E12.4	0	3.64	1
C32E8.11	0	7.74	1
C32E8.3	0	6.75	1
C32E8.5	0	8.19	1
C32E8.9	0	4.39	1
C32F10.8	0	6.38	1
C33A11.1	0	4.34	1
C33A11.2	0	5.64	1
C33A12.1	0	5.98	1
C33A12.3	0	7.03	1
C33A12.7	0	6.84	1
C33B4.4	0	3.48	1
C33C12.10	0	3.68	1
C33D12.2	0	4	1
C33D9.6	0	4.59	1
C33F10.14	0	6.38	1
C33F10.4	0	7.31	1
C33G3.6	0	4.48	1
C33H5.17	0	7.26	1
C33H5.18	0	8.13	1
C33H5.8	0	6.97	1
C34B2.10	0	5.38	1
C34B2.5	0	5.73	1
C34B2.6	0	7.8	1
C34B2.8	0	7.3	1
C34B4.2	0	5.79	1
C34B7.1	0	2.59	1
C34B7.2	0	8.33	1
C34C12.2	0	8.16	1
C34C12.4	0	6.2	1
C34C12.5	0	5.08	1
C34C12.8	0	6.44	1
C34C6.4	0	6.34	1
C34D10.1	0	5.99	1
C34D4.10	0	4.24	1
C34D4.13	0	6.19	1
C34D4.4	0	8.06	1
C34E10.10	0	4.64	1
C34E10.11	0	7.24	1
C34E10.8	0	8.2	1
C34F11.3	0	6.91	1
C34F6.10	0	3.28	1
C34F6.9	0	2.63	1
C34G6.1	0	6.15	1
C34G6.5	0	7.6	1
C35A5.8	0	8.97	1
C35B1.2	0	5.22	1
C35B8.3	0	5.53	1
C35C5.3	0	6.22	1
C35C5.6	0	6.56	1
C35D10.1	0	7.73	1
C35D10.10	0	7.31	1
C35D10.13	0	6.63	1
C35D10.17	0	2.94	1
C35D10.5	0	6.82	1
C35D10.6	0	5.36	1
C35D10.7	0	7.34	1
C35E7.5	0	6.52	1
C35E7.8	0	6.9	1
C36A4.4	0	7.34	1
C36A4.5	0	5.4	1
C36B1.11	0	8.49	1
C36B1.14	0	5.69	1
C36B1.9	0	2.86	1
C36B7.6	0	6.61	1
C36C9.1	0	7.82	1
C36E6.1	0	5.45	1
C36E6.2	0	4.62	1
C36E8.1	0	7.74	1
C36F7.2	0	6.29	1
C37A2.7	0	3.79	1
C37A2.8	0	8.84	1
C37A5.7	0	5.29	1
C37C3.1	0	5.56	1
C37C3.2	0	7.38	1
C37C3.9	0	9.74	1
C37E2.1	0	5.8	1
