	logFC	logCPM	PValue
B0280.9	0	7.52	1
B0281.5	0	3.38	1
B0285.3	0	6.61	1
B0285.4	0	7.02	1
B0303.15	0	5.64	1
B0303.3	0	7.6	1
B0303.4	0	8.35	1
B0303.7	0	6.26	1
B0304.2	0	6.81	1
B0304.4	0	6.47	1
B0310.2	0	5.49	1
B0334.15	0	2.63	1
B0334.3	0	7.28	1
B0334.4	0	8.16	1
B0334.5	0	7.95	1
B0336.13	0	6.53	1
B0336.3	0	6.75	1
B0336.5	0	8.06	1
B0336.7	0	5.48	1
B0361.2	0	6.66	1
B0361.3	0	8.01	1
B0361.6	0	7.75	1
B0361.8	0	8.7	1
B0361.9	0	7.16	1
B0365.1	0	6.29	1
B0393.3	0	9.49	1
B0393.6	0	8.09	1
B0395.3	0	7.02	1
B0412.3	0	7.24	1
B0416.4	0	6.01	1
B0416.5	0	7.98	1
B0432.10	0	6.18	1
B0432.13	0	5.16	1
B0432.8	0	6.76	1
B0454.9	0	4.29	1
B0464.2	0	8.3	1
B0464.6	0	8.38	1
B0464.9	0	7.52	1
B0491.1	0	4.14	1
B0491.5	0	7.22	1
B0491.6	0	6.39	1
B0491.7	0	3.58	1
B0495.2	0	7.05	1
B0495.5	0	4.44	1
B0495.6	0	5.19	1
B0495.7	0	5.23	1
B0495.8	0	7.33	1
B0495.9	0	7.6	1
B0507.2	0	4.35	1
B0511.12	0	7.35	1
B0511.13	0	6.87	1
B0511.6	0	7.25	1
B0511.7	0	7.53	1
B0513.2	0	7.18	1
B0546.2	0	7.92	1
B0546.4	0	5.02	1
B0564.11	0	5.71	1
B0564.7	0	7.17	1
baf-1	0	6.95	1
bag-1	0	6.59	1
bam-2	0	3.11	1
bath-1	0	5.53	1
bath-15	0	5.7	1
bath-2	0	5.29	1
bath-27	0	5.26	1
bath-28	0	5.38	1
bath-29	0	5.72	1
bath-30	0	6.96	1
bath-36	0	5.07	1
bath-38	0	6.28	1
bath-39	0	7.07	1
bath-40	0	7.12	1
bath-41	0	8.03	1
bath-42	0	9.18	1
bath-43	0	8.49	1
bath-44	0	7.38	1
bath-5	0	6.34	1
bath-6	0	5.68	1
bca-1	0	4.92	1
bca-2	0	3.77	1
bcs-1	0	7.59	1
BE0003N10.1	0	4.6	1
bec-1	0	4.78	1
bed-1	0	6.16	1
bed-2	0	2.7	1
bed-3	0	4.02	1
ben-1	0	4.08	1
bet-2	0	7.04	1
bir-1	0	6.02	1
bir-2	0	6.39	1
bli-4	0	8.95	1
bmk-1	0	7.03	1
bmy-1	0	6.57	1
bpl-1	0	4.29	1
bra-1	0	3.24	1
bra-2	0	7.87	1
brc-1	0	5.36	1
brc-2	0	7.18	1
brd-1	0	7.21	1
bre-3	0	7.07	1
bre-4	0	5.38	1
bre-5	0	6.24	1
brf-1	0	8.45	1
btb-19	0	5.81	1
btb-4	0	4.35	1
btb-6	0	5.24	1
btb-7	0	2.7	1
btf-1	0	4.09	1
bub-1	0	7.6	1
bub-3	0	8.41	1
byn-1	0	6.68	1
C01A2.3	0	5.39	1
C01A2.4	0	6.17	1
C01A2.5	0	8.35	1
C01B10.8	0	7.88	1
C01B10.9	0	7.8	1
C01B12.2	0	4.72	1
C01B12.8	0	7.2	1
C01F1.1	0	7.75	1
C01F1.6	0	7.45	1
C01F6.9	0	5.02	1
C01G10.10	0	7.32	1
C01G10.7	0	6.72	1
C01G10.8	0	8.38	1
C01G12.1	0	4.4	1
C01G12.3	0	4.44	1
C01G5.5	0	6.6	1
C01G5.6	0	8.31	1
C01G6.3	0	8.3	1
C01G6.4	0	7.06	1
C01G6.5	0	8.78	1
C01G8.1	0	9.51	1
C01G8.6	0	5.61	1
C01H6.9	0	6.46	1
C02B10.2	0	6	1
C02B10.4	0	7.51	1
C02B10.5	0	5.32	1
C02B8.6	0	4.02	1
C02C6.3	0	3.97	1
C02D5.4	0	6.04	1
C02F12.8	0	4.99	1
C02F5.12	0	6.61	1
C02F5.13	0	5.49	1
C02F5.3	0	7.54	1
C02F5.6	0	7.47	1
C03A3.2	0	6.96	1
C03B1.7	0	4.09	1
C03C10.4	0	6.4	1
C03H12.1	0	5.11	1
C03H5.2	0	6.29	1
C03H5.3	0	8.64	1
C04A11.2	0	4.42	1
C04B4.2	0	8.91	1
C04C3.3	0	7.9	1
C04E6.11	0	7.19	1
C04F12.1	0	8.19	1
C04F5.8	0	6.08	1
C04F5.9	0	6.55	1
C04G6.4	0	6.29	1
C05B5.4	0	5.33	1
C05C10.2	0	7.99	1
C05C10.3	0	7.62	1
C05C10.5	0	9.63	1
C05C10.7	0	5.9	1
C05C8.1	0	6.43	1
C05C8.2	0	7.02	1
C05C8.5	0	6.8	1
C05C8.6	0	8.93	1
C05D10.1	0	6.44	1
C05D11.1	0	7.03	1
C05D11.10	0	3.31	1
C05D11.13	0	3.94	1
C05D11.5	0	3.25	1
C05D11.7	0	7.84	1
C05D11.9	0	8.05	1
C05D2.10	0	6.25	1
C05D2.6	0	7.56	1
C05D9.7	0	6.23	1
C05E11.3	0	4.97	1
C05G5.2	0	4.1	1
C05G5.4	0	5.9	1
C06A1.4	0	8.48	1
C06A5.3	0	9.43	1
C06A5.6	0	8.35	1
C06A5.8	0	5.98	1
C06A6.2	0	6.42	1
C06A6.4	0	7.39	1
C06A6.5	0	4.91	1
C06A8.1	0	8.24	1
C06A8.2	0	8.47	1
C06A8.3	0	3.65	1
C06E1.9	0	6.86	1
C06E2.5	0	3.81	1
C06E7.4	0	5.99	1
C06G3.5	0	4.74	1
C06G3.6	0	5.91	1
C06G3.8	0	5.44	1
C06G3.9	0	5.19	1
C06G4.1	0	8.36	1
C06H2.2	0	7.01	1
