	logFC	logCPM	PValue
C27A12.9	-1.6	5.35	0.438
C27A7.5	-3.23	5.92	0.0776
C27A7.6	-0.0704	5.36	0.97
C27B7.2	0.188	5.8	0.912
C27B7.5	0.82	7.62	0.28
C27C12.1	1.67	5.36	0.403
C27C12.3	0.936	7.38	0.343
C27C12.4	0.363	7.75	0.608
C27C7.1	0.557	6.56	0.651
C27D6.4	1.26	7.4	0.123
C27D8.3	3.85	2.26	0.142
C27D8.4	-0.342	5.9	0.854
C27D9.1	0.772	7.9	0.241
C27F2.10	-1.2	7.78	0.124
C27F2.4	1.3	6.81	0.223
C27F2.7	2.87	5.65	0.159
C27F2.8	0.123	9.37	0.798
C27F2.9	0.578	8.68	0.275
C27H6.3	-0.0235	8.71	0.963
C27H6.8	0.143	7.95	0.818
C27H6.9	0.529	5.53	0.797
C28A5.1	0.571	7.85	0.453
C28A5.2	-0.848	6.89	0.46
C28C12.12	-0.505	8.15	0.414
C28G1.4	3.46	1.97	0.183
C28H8.1	0.142	6.67	0.906
C28H8.3	-0.141	7.92	0.851
C28H8.4	-0.35	7.6	0.646
C28H8.9	-0.359	7.78	0.604
C29A12.1	-0.0291	7.12	0.977
C29E4.12	0.142	6.55	0.912
C29E4.13	-0.113	7.22	0.9
C29E4.15	0.293	6.71	0.787
C29E4.9	0.799	3.2	0.739
C29F7.3	-1.98	3.91	0.362
C29F9.1	-2.95	1.76	0.239
C29H12.2	-0.499	8.47	0.354
C29H12.5	-0.141	6.16	0.918
C30A5.3	-0.255	8.25	0.641
C30B5.2	0.186	7.52	0.816
C30B5.4	0.367	7.95	0.601
C30C11.1	-1.16	4.13	0.597
C30C11.4	0.731	8.87	0.126
C30F12.2	-0.5	7.23	0.612
C30F12.4	-0.107	9.8	0.855
C30F12.5	-5.08	3.44	0.0338
C30G12.6	1.63	8.08	0.01
C30H6.7	0.156	6.87	0.88
C30H6.8	-0.708	4.49	0.745
C30H6.9	-1.14	5.36	0.492
C30H7.2	-0.126	7.27	0.882
C31C9.2	-1.16	5.78	0.45
C31E10.5	0.982	7.27	0.261
C31E10.6	2.77	6	0.103
C31E10.7	0.706	2.46	0.729
C31G12.1	2.22	5.71	0.156
C31H1.8	0.946	8.9	0.0472
C31H5.4	0.543	4.69	0.784
C31H5.5	5.44	3.6	0.0493
C32A3.2	0.502	3.78	0.836
C32A3.3	0.263	8.53	0.607
C32D5.10	0.795	7.31	0.411
C32D5.11	0.147	8.16	0.821
C32D5.3	0.982	8.12	0.18
C32D5.7	1.56	4.75	0.521
C32D5.8	1.22	4.56	0.53
C32E12.4	-2.71	2.92	0.268
C32E8.11	0.413	7.92	0.532
C32E8.3	-0.175	6.62	0.882
C32E8.5	0.1	8.2	0.871
C32E8.9	-1.81	3.78	0.4
C32F10.8	0.988	6.92	0.457
C33A11.1	-3.72	3.5	0.103
C33A11.2	-0.886	5.24	0.604
C33A12.1	0.34	6.13	0.802
C33A12.12	6.15	4.25	0.032
C33A12.3	0.0944	7.04	0.929
C33A12.7	-0.643	6.52	0.639
C33B4.4	-0.463	3.3	0.857
C33C12.10	1.56	4.62	0.439
C33C12.9	1.7	2.53	0.505
C33D12.2	-4.71	3.12	0.0768
C33D9.3	5.76	3.9	0.0391
C33D9.6	-5.32	3.67	0.0479
C33F10.14	-0.245	6.23	0.854
C33F10.4	-0.403	7.08	0.664
C33F10.8	3.25	1.8	0.214
C33G3.4	0.923	3.58	0.679
C33G3.6	0.486	4.72	0.788
C33H5.17	-0.635	6.94	0.528
C33H5.18	-0.469	7.88	0.523
C33H5.8	0.0581	6.96	0.956
C34B2.10	0.424	5.58	0.788
C34B2.5	0.965	6.25	0.474
C34B2.6	-1.26	7.26	0.142
C34B2.8	0.287	7.41	0.733
C34B4.2	1.07	6.38	0.424
C34B7.1	-0.166	2.58	0.976
C34B7.2	-0.412	8.1	0.478
C34C12.2	-0.501	7.89	0.514
C34C12.4	-0.599	5.9	0.69
C34C12.5	1.03	5.64	0.515
C34C12.7	-2.18	1.32	0.363
C34C12.8	0.468	6.66	0.683
C34C6.2	-2.67	1.58	0.282
C34C6.4	-4.03	5.41	0.0448
C34D10.1	0.0412	5.97	0.978
C34D4.10	-4.96	3.35	0.037
C34D4.13	0.253	6.29	0.854
C34D4.4	0.296	8.17	0.633
C34E10.10	0.854	5.09	0.634
C34E10.11	-1.41	6.66	0.259
C34E10.8	0.367	8.35	0.49
C34F11.3	-0.91	6.49	0.595
C34F6.10	3.47	5.78	0.11
C34F6.9	0.389	2.85	0.88
C34G6.1	2.35	7.71	0.0862
C34G6.5	-0.347	7.4	0.68
C35A5.7	3.16	1.74	0.224
C35A5.8	-0.473	8.71	0.647
C35B1.2	1.77	6.32	0.297
C35B1.5	0.89	2.18	0.735
C35B8.3	-0.435	5.3	0.807
C35C5.3	-1.44	5.65	0.363
C35C5.6	1.16	7.21	0.199
C35D10.1	0.192	7.79	0.782
C35D10.10	0.381	7.48	0.626
C35D10.13	0.304	6.75	0.781
C35D10.17	-0.583	2.75	0.785
C35D10.5	-0.401	6.6	0.727
C35D10.6	0.987	5.9	0.497
C35D10.7	-0.194	7.21	0.848
C35E7.5	-0.51	6.25	0.814
C35E7.8	-0.303	6.72	0.782
C36A4.4	0.328	7.48	0.668
C36A4.5	-2.43	4.64	0.216
C36B1.11	0.893	8.96	0.079
C36B1.14	0.683	6.04	0.647
C36B1.9	-3.52	2.15	0.166
C36B7.6	0.353	6.76	0.751
C36C9.1	0.162	7.86	0.812
C36E6.1	2.15	6.84	0.0926
C36E6.2	0.862	5.07	0.627
C36E8.1	0.718	8.09	0.216
C36E8.4	-2.87	1.7	0.252
C36F7.2	0.622	6.6	0.601
C37A2.7	-0.745	3.49	0.706
C37A2.8	-0.0788	8.76	0.882
C37A5.7	-1.11	4.82	0.599
C37C3.1	1.39	6.37	0.265
C37C3.2	0.289	7.49	0.724
C37C3.9	-0.498	9.47	0.314
C37E2.1	0.0633	5.8	0.971
C37E2.2	0.355	1.82	0.952
C37H5.13	-0.802	6.47	0.538
C37H5.2	-0.355	5.41	0.858
C37H5.3	-1.08	7.2	0.406
C37H5.5	-0.613	7.55	0.404
C37H5.6	0.0732	7.53	0.924
C38C10.2	-0.719	8.49	0.189
C38D4.1	-1.07	4.33	0.619
C38D4.4	0.271	7.99	0.698
C38D4.9	0.177	3.4	0.947
C39B5.2	-1.18	3.95	0.579
C39B5.6	-2.27	4.24	0.254
C39E9.11	0.0204	8.66	0.968
C39E9.12	-0.308	7.13	0.74
C40H1.6	-0.128	4	0.955
C40H5.8	-3.12	1.87	0.208
C41C4.1	-5.41	3.75	0.0455
C41D11.3	0.428	8.24	0.49
C41D11.5	-0.175	7.59	0.812
C41D11.9	-0.419	6.43	0.736
C41G7.3	0.807	8.3	0.147
C41G7.9	0.408	7	0.69
C41H7.3	-0.974	6.39	0.437
C41H7.4	-0.816	4.56	0.688
C41H7.5	2.23	2.38	0.351
C41H7.6	-1.31	5.96	0.356
C42C1.10	0.466	7.4	0.562
C42C1.11	0.752	7.95	0.307
C42C1.12	2.45	3.8	0.24
C42C1.13	-0.49	7.03	0.611
C42C1.4	0.46	7.03	0.624
C42C1.8	-0.475	8.15	0.413
C43E11.12	0.222	6.31	0.861
C43E11.9	1.61	4.95	0.375
C43H6.1	2.95	1.6	0.263
C43H6.3	-0.36	5.7	0.814
C43H6.4	-5.22	3.57	0.0553
C43H6.7	-1.13	7.2	0.248
C43H8.1	2.07	2.64	0.376
C43H8.2	-1.29	5.55	0.491
C44B7.1	0.345	5.09	0.871
C44B7.10	0.297	8.28	0.595
C44B7.11	0.298	6.16	0.879
C44B7.12	-0.44	7.82	0.576
C44B7.2	-0.691	6.15	0.68
C44B9.3	-2.15	5.58	0.215
C44C1.2	1.62	5.91	0.311
C44C10.4	0.253	6.38	0.85
C44E4.1	-0.776	7.66	0.435
C44E4.3	0.308	8.28	0.592
C44E4.4	0.169	8.19	0.795
C44E4.5	-0.589	7.5	0.449
C44H4.4	-0.394	5.72	0.807
C45B2.6	-1.88	5.66	0.239
C45E1.5	5.07	3.27	0.0632
C45G3.5	0.922	7.83	0.189
C45G7.4	0.103	5.05	0.971
C45G9.2	-0.0605	7.99	0.925
C45G9.5	1.86	7.2	0.0483
C45G9.7	-0.159	4.72	0.934
C45H4.14	0.204	6	0.886
C46A5.5	0.772	6.52	0.532
C46A5.6	1.01	5.88	0.496
C46C11.1	-1.45	6.8	0.203
C46C11.2	4.8	3.03	0.0697
C46C2.2	-1.8	5.56	0.385
C46C2.7	-0.00461	4.79	1
C46F11.3	-0.0942	6.61	0.938
C46F11.4	0.0253	7.4	0.977
C46F11.5	0.471	7.2	0.589
C46F11.6	-0.223	3.59	0.932
C46H11.10	-2.67	1.58	0.282
C46H11.2	2.38	2.94	0.31
C46H3.2	-1.22	6.06	0.411
C47A4.1	0.695	4.16	0.724
C47B2.2	0.252	7.52	0.74
C47B2.9	0.484	2.96	0.832
C47D12.2	0.333	9.05	0.527
C47D12.8	-1.24	7.61	0.225
C47E12.2	0.216	8.47	0.676
C47E12.3	1.25	7.86	0.0689
C47E12.7	0.223	6.44	0.86
C47E8.11	-2.96	1.79	0.232
C47E8.4	0.101	7.4	0.901
C47F8.1	0.285	5.91	0.857
C47G2.3	0.485	6.2	0.722
C47G2.4	0.127	8.25	0.827
C48A7.2	0.361	9.06	0.527
C48B4.10	0.583	4.11	0.768
C48B4.11	0.498	8.19	0.409
C48B4.13	-2.77	1.64	0.267
C48B4.6	-0.125	4.48	0.954
C48B4.7	0.0245	5.91	0.99
C48B4.8	-0.0863	5.2	0.964
C48B4.9	0.77	6.47	0.531
C48B6.10	0.148	5.24	0.936
C48B6.2	1.51	5.38	0.364
C48B6.3	-1.31	6.13	0.382
C48B6.9	1.01	5.39	0.543
C48D1.1	2.56	1.39	0.334
C48D1.5	0.438	2.84	0.86
C48E7.11	0.518	6.36	0.688
C48E7.2	0.367	7.77	0.586
C49A9.10	-0.402	4.67	0.829
C49C3.15	4.55	2.8	0.0942
C49C3.5	4.16	3.47	0.0996
C49C3.6	0.531	7.23	0.536
C49C3.7	-0.218	6.76	0.841
C49C3.8	-0.0901	7.76	0.909
C49C8.3	-0.891	2.94	0.722
C49F5.3	-0.0551	5.96	0.971
C49F5.6	-0.509	7.89	0.453
C49H3.3	0.13	7.06	0.9
C49H3.4	0.891	5.74	0.558
C49H3.6	0.704	3.51	0.763
C49H3.9	-0.322	7.48	0.672
C50A2.2	-0.223	4.31	0.916
C50B6.3	-0.256	8.24	0.645
C50B6.9	1.9	2.81	0.4
C50B8.1	0.412	7.1	0.655
C50B8.3	0.703	6.45	0.586
C50C3.1	0.755	8.2	0.197
C50D2.5	0.447	6.45	0.726
C50D2.7	-0.155	6.07	0.925
C50D2.9	-0.335	5.85	0.824
C50E3.11	-0.746	3.51	0.744
C50E3.12	-0.97	7.02	0.322
C50E3.13	-0.362	7.49	0.649
C50E3.5	-0.431	7.34	0.645
C50F2.2	-1.18	7.11	0.226
C50F2.3	-0.561	7.07	0.55
C50F4.12	3.07	7.14	0.0272
C50F4.14	0.614	7.77	0.37
C50F4.16	0.381	7.97	0.572
C50F4.4	4.07	3.87	0.0771
C50F4.6	-0.517	5.78	0.738
C50F7.4	-0.699	7.16	0.484
C50F7.6	-0.915	3.53	0.695
C52A10.3	-2.9	5.25	0.157
C52B9.4	0.391	7.15	0.707
C52B9.8	-3.23	6.27	0.0216
C52D10.12	1.22	6.17	0.527
C52E12.1	-0.101	8.3	0.856
C52E12.4	0.631	7.28	0.462
C52E4.5	-3.14	4.09	0.218
C53A5.16	-1.08	4.59	0.624
C53A5.17	1.54	6.85	0.149
C53A5.2	-2.71	2.69	0.255
C53A5.5	-4	3.34	0.11
C53A5.6	1.46	5.44	0.459
C53B4.3	2.95	1.6	0.264
C53B4.4	-0.469	8.35	0.395
C53B4.6	1.16	4.47	0.632
C53D5.1	0.613	6.96	0.582
C53D5.2	-3.38	2.07	0.171
C53D5.5	-3.57	2.19	0.16
C53D6.4	-0.575	7.05	0.551
C53D6.6	1.18	6.93	0.313
C53H9.2	0.234	3.72	0.917
C53H9.3	0.848	2.87	0.706
C54C6.6	-0.174	6.27	0.897
C54G4.7	0.181	7.04	0.849
C54G4.9	0.904	6.54	0.462
C54G6.1	-0.0538	6.45	0.967
C55A6.1	0.294	8.2	0.638
C55A6.10	-0.102	6.23	0.943
C55A6.12	-3.19	1.92	0.2
C55A6.9	0.268	9.22	0.568
C55B6.1	-0.467	7.54	0.544
C55B7.11	0.156	8.27	0.812
C55C3.5	-1.08	8.15	0.088
C56A3.4	-0.0369	8.94	0.944
C56A3.5	0.256	7.51	0.751
C56A3.6	0.225	5.54	0.907
C56A3.8	1.16	5.43	0.563
C56C10.10	1.13	2.99	0.641
C56C10.11	-0.35	7.31	0.677
C56C10.7	0.208	7.4	0.793
C56C10.9	-0.97	6.27	0.453
C56E6.2	-1.28	6.29	0.318
C56E6.9	2.21	5.56	0.229
C56G2.1	0.434	7.93	0.492
C56G2.15	-0.639	7.03	0.511
C56G2.5	1.66	6.97	0.257
C56G2.7	0.465	8.28	0.402
C56G7.3	-0.615	5.02	0.738
cacn-1	0.458	6.82	0.705
cah-1	-4.37	3.37	0.0832
cal-5	-0.711	5.93	0.62
calu-1	1.07	7.33	0.246
cam-1	0.589	8.3	0.286
cand-1	0.823	6.25	0.534
cap-1	-0.245	8.12	0.673
cap-2	0.218	8.21	0.702
capg-1	-0.173	7.86	0.801
capg-2	-0.179	9.12	0.718
car-1	0.377	9.75	0.414
cars-1	0.495	8.47	0.338
cas-1	0.298	6.9	0.77
cas-2	0.167	7.68	0.813
cash-1	0.79	7.24	0.354
casy-1	-0.683	5.09	0.754
catp-6	0.668	8.08	0.354
cav-1	-0.113	6.69	0.924
cbd-1	0.53	10.6	0.302
cblc-1	0.487	7.55	0.554
cbp-1	-0.355	6.27	0.787
CC8.2	1.07	5.35	0.573
ccch-3	0.852	6.45	0.517
ccch-5	-1.32	3.64	0.587
ccdc-47	-0.284	8.52	0.581
ccdc-55	-0.957	7.36	0.24
ccf-1	-0.00762	8.24	0.99
cchl-1	0.368	8.49	0.473
cco-1	-0.638	6.39	0.608
cco-2	0.109	7.31	0.903
ccpp-1	0.23	8.37	0.669
ccr-4	0.408	6.28	0.749
cct-1	0.104	9.06	0.832
cct-2	0.22	8.94	0.65
cct-3	0.156	4.56	0.942
cct-4	0.202	8.84	0.688
cct-5	0.143	9.1	0.764
cct-6	0.925	8.51	0.0779
cct-7	0.613	8.16	0.283
cct-8	-0.0438	4.84	0.991
ccz-1	0.334	8.02	0.6
CD4.3	0.674	5.32	0.686
CD4.7	0.403	7.2	0.662
CD4.8	-0.463	5.36	0.819
cdc-14	0.483	9.04	0.309
cdc-25.1	0.279	9.01	0.561
cdc-25.2	-0.147	6.3	0.911
cdc-25.3	-0.326	7.19	0.714
cdc-26	-0.409	4.37	0.854
cdc-37	0.198	7.84	0.774
cdc-42	-0.0366	7.83	0.958
cdc-48.1	0.458	9.87	0.341
cdc-48.2	0.362	8.9	0.448
cdc-48.3	0.0142	7.01	0.989
cdc-6	0.522	8.06	0.391
cdd-2	0.411	6.46	0.748
cdf-1	-0.412	6.2	0.825
cdh-3	-1.72	5.48	0.463
cdh-4	-0.259	8.5	0.631
cdh-5	5.24	3.41	0.06
cdk-1	0.135	9.03	0.783
cdk-2	-3.08	1.86	0.21
cdk-4	-0.0567	6.67	0.961
cdk-5	0.0975	8.03	0.873
cdk-7	0.567	7.55	0.471
cdk-8	0.077	8.99	0.878
cdk-9	0.749	6.35	0.562
cdl-1	-0.0751	9.33	0.874
cdr-4	1.37	3.14	0.585
cdr-6	-1.76	3.95	0.424
cdr-7	-0.77	4.55	0.72
cdt-1	-0.793	6.34	0.538
cdt-2	0.307	5.89	0.849
cdtl-7	-0.371	7.08	0.7
cec-1	-1.65	5.35	0.323
ced-1	-1.35	5.67	0.414
ced-10	-2.38	3.73	0.26
ced-12	-1.41	7.97	0.0241
ced-2	0.292	6.98	0.774
ced-3	-0.665	6.9	0.638
ced-4	0.831	7.63	0.244
ced-5	-0.428	7.84	0.544
ced-6	-0.0324	7.38	0.975
ced-7	-1.06	8.67	0.0429
ced-8	-2.1	6	0.15
ced-9	1.39	6.2	0.407
cee-1	-0.054	7.77	0.939
ceh-100	-0.854	7.51	0.267
ceh-18	-4.09	2.59	0.113
ceh-2	0.0241	2.15	1
ceh-20	-2.77	1.64	0.266
ceh-21	1.42	6.74	0.287
ceh-38	0.504	9.23	0.293
ceh-39	0.232	6.83	0.831
ceh-40	-1.64	5.97	0.278
ceh-41	1.52	6.84	0.193
ceh-43	-5.81	4.11	0.0337
ceh-44	-0.254	8.02	0.675
ceh-49	-0.569	6.46	0.634
ceh-51	-3.4	2.06	0.179
ceh-91	0.267	6.11	0.847
cel-1	-1.34	8.43	0.0402
cep-1	0.444	7.93	0.48
ces-2	3.62	2.09	0.162
cey-1	0.402	7.87	0.596
cey-2	0.737	9.88	0.129
cey-3	0.523	9.76	0.315
cey-4	0.294	8.8	0.549
cfim-1	-0.562	7.1	0.559
cfim-2	-0.626	8.01	0.391
cgef-1	1.25	5.88	0.404
cgef-2	-0.487	3.8	0.851
cgh-1	0.51	9.94	0.439
cgp-1	-0.378	7.88	0.564
cgt-3	-0.0419	8.97	0.932
chc-1	-0.185	9.27	0.711
chch-3	0.49	5.62	0.757
chd-3	1.3	6.01	0.481
che-14	6.65	4.73	0.0204
chin-1	-1.22	6.18	0.393
chk-1	0.238	7.46	0.777
chn-1	-0.0532	8.4	0.922
chp-1	0.52	6.94	0.598
chs-1	2.58	6.97	0.073
cht-1	-4.31	4.01	0.1
chtl-1	-1.24	8.63	0.0169
cic-1	-0.316	7.47	0.696
cid-1	-0.192	9.03	0.702
cids-1	0.0798	7.48	0.918
cids-2	-0.0715	9	0.883
cif-1	0.156	7.89	0.813
cil-1	-0.225	2.14	0.965
cin-4	1.73	2.06	0.469
cir-1	-0.0797	8.27	0.889
cit-1.1	0.23	7.26	0.796
cit-1.2	-0.242	4.91	0.897
cka-1	-0.0284	7.17	0.978
ckb-2	0.128	6.18	0.928
ckb-4	0.0438	5.33	0.983
ckc-1	-3.4	2.06	0.179
cki-2	0.0769	8.03	0.907
ckk-1	-4.34	4.04	0.0904
cks-1	0.428	8.25	0.484
cku-70	-0.59	6.37	0.636
cku-80	0.261	6.96	0.797
clc-3	-2.95	1.76	0.239
clc-5	-2.77	1.64	0.266
clec-266	-0.734	5.23	0.726
clec-87	-0.728	10.6	0.178
clec-88	-0.489	10.4	0.354
clec-91	-0.676	9.7	0.211
clh-3	0.583	7.23	0.519
clh-5	0.708	8	0.248
clh-6	0.821	4.68	0.676
clic-1	0.388	7.59	0.6
clk-1	-2.21	5.64	0.192
clk-2	2.05	6.9	0.181
cln-3.2	-1.01	5.58	0.6
clp-1	-0.00685	7.76	0.996
clp-2	-0.28	7.52	0.745
clp-7	-0.762	7.76	0.259
clpf-1	0.513	5.49	0.751
clpp-1	1.15	5.26	0.505
clr-1	-0.242	8.58	0.682
cls-1	-0.507	5.84	0.771
cls-2	-0.699	5.43	0.677
cls-3	0.453	5.63	0.798
clu-1	1.1	7.86	0.165
cmd-1	-0.0283	7.9	0.966
cmk-1	-4.29	2.77	0.0945
cnb-1	0.152	4.92	0.936
cnk-1	-3.05	3.82	0.151
cnp-2	0.834	2.61	0.682
cnp-3	-0.253	6.96	0.83
cnt-1	0.1	5.12	0.961
cnt-2	-1.81	6.93	0.233
cnx-1	0.832	8.81	0.0882
coel-1	1.41	4.18	0.568
cogc-1	-3.41	3.24	0.128
cogc-2	-0.429	8.2	0.475
cogc-3	-0.547	7.32	0.702
cogc-4	-1.26	6.42	0.334
cogc-5	-0.073	8.06	0.915
cogc-6	-0.767	8.37	0.238
cogc-8	-1.32	7.76	0.109
coh-1	-2.2	5.84	0.176
coh-3	-0.546	7.12	0.668
coh-4	-0.672	6.39	0.677
col-38	-3.33	2.01	0.185
col-86	-0.214	2.98	0.938
col-90	-0.795	2.36	0.734
com-1	0.421	7.16	0.642
coq-1	0.643	6.43	0.598
coq-2	-1.69	5.67	0.29
coq-3	-1.31	2.33	0.579
coq-4	-0.509	3.97	0.803
coq-5	0.222	6.99	0.836
coq-6	0.789	5.79	0.646
coq-8	0.237	7.72	0.733
cpar-1	3.67	3.91	0.11
cpb-1	-0.00692	7.14	0.999
cpb-3	0.369	9.5	0.432
cpf-1	0.075	8.26	0.892
cpg-1	0.12	10.6	0.805
cpg-2	0.518	9.62	0.294
cpg-3	0.29	6.79	0.862
cpg-4	0.78	8.82	0.176
cpg-8	-0.0307	6.98	0.979
cpi-2	-0.351	7.85	0.626
cpn-1	1.2	7.71	0.0939
cpn-2	-2.77	1.64	0.266
cpna-1	3.52	5.44	0.0858
cpna-3	-0.0904	8.61	0.858
cps-6	-3.89	2.44	0.113
cpsf-1	0.55	7.46	0.496
cpsf-2	0.158	7.43	0.842
cpsf-3	1.4	7.51	0.128
cpsf-4	0.229	8.01	0.705
cpt-1	-0.134	8.65	0.798
cpt-2	1.78	6.93	0.115
cpt-6	-0.602	5.95	0.687
cra-1	0.235	8.53	0.644
crh-1	2.79	3.18	0.238
cri-3	-0.321	7.32	0.704
crls-1	-0.373	6.55	0.75
crm-1	-2.49	2.24	0.33
crml-1	-0.404	8.66	0.502
crn-1	-0.423	7.91	0.504
crn-2	1.33	4.17	0.518
crn-3	-0.632	8.62	0.339
crn-4	1.15	7.07	0.247
crn-5	-1.74	4.37	0.419
crn-7	2.44	2.9	0.335
crp-1	3.84	2.23	0.149
crt-1	-0.0203	9.59	0.966
csb-1	1.53	6.95	0.164
csc-1	0.454	6.76	0.686
csk-1	4.17	5.41	0.0382
csn-1	0.691	7.9	0.338
csn-2	-0.685	8.5	0.269
csn-3	-0.384	7.97	0.537
csn-4	-0.544	6.75	0.64
csn-5	1.32	7.77	0.0607
csn-6	-1.06	7.06	0.264
csnk-1	1.47	7.29	0.0835
csr-1	-1.47	7.24	0.281
cst-1	1.35	4.89	0.528
ctb-1	0.612	9.69	0.257
cTel55X.1	-0.0265	4.09	1
ctg-1	-0.583	6.15	0.709
ctg-2	-3.57	2.19	0.16
ctn-1	-3.35	4.65	0.0905
ctns-1	0.631	7.63	0.391
cts-1	-0.276	9.24	0.572
cua-1	-0.242	7.58	0.747
cuc-1	0.224	4.5	0.913
cul-1	0.561	7.6	0.44
cul-2	0.497	7.1	0.591
cul-3	1.18	5.52	0.544
cul-4	-0.46	7.84	0.647
cul-5	-0.273	7.14	0.758
cul-6	-2.18	1.32	0.364
cup-2	0.615	7.67	0.384
cup-5	-0.124	8.26	0.822
cutc-1	0.0681	8.04	0.909
cutl-10	-3.9	2.47	0.122
cutl-20	-2.62	3.66	0.245
cutl-21	3.16	1.74	0.224
cutl-25	-2.67	1.58	0.282
cutl-26	-2.93	1.74	0.226
cutl-3	-4.55	2.98	0.0854
cutl-9	-3.33	2.01	0.185
cux-7	-0.0275	7.76	0.972
cwn-2	0.389	2.91	0.875
cya-1	-1.62	7.29	0.058
cyb-1	0.0673	9.62	0.887
cyb-2.1	0.0194	7.66	0.979
cyb-2.2	0.578	8.74	0.245
cyb-3	-0.141	10.2	0.776
cyc-1	-0.928	6.87	0.399
cyc-2.1	0.56	7.33	0.517
cyd-1	0.645	4.62	0.769
cye-1	-1.4	6.62	0.297
cyk-1	0.339	6.21	0.803
cyk-3	-2.54	6.3	0.0605
cyk-4	0.165	7.89	0.796
cyl-1	-1.31	7.27	0.149
cyld-1	0.0813	8.34	0.886
cyn-1	1.18	5.84	0.442
cyn-10	-0.577	5.06	0.741
cyn-11	-0.252	4.75	0.893
cyn-12	0.332	6.31	0.812
cyn-13	-0.0112	5.4	1
cyn-15	-0.469	7.65	0.505
cyn-16	-3.39	3.35	0.129
cyn-3	0.976	6.95	0.328
cyn-4	-0.682	7.19	0.433
cyn-5	0.489	7.37	0.569
cyn-6	-2	4.45	0.307
cyn-7	0.554	8.78	0.292
cyn-8	0.558	7.15	0.558
cyn-9	1.05	6.87	0.318
cyp-13B2	-1.43	4.85	0.513
cyp-31A2	4.37	5.53	0.0273
cyp-31A3	4.39	6.1	0.00724
cyp-31A5	2.89	4.88	0.247
cyp-44A1	1.75	6.34	0.304
cyy-1	-1.23	7.89	0.0584
czw-1	0.113	8.85	0.825
D1005.1	0.894	7.87	0.174
D1007.10	-1.28	4.69	0.547
D1007.15	-0.857	4.5	0.691
D1007.19	5.34	3.95	0.0506
D1007.4	-0.789	5.8	0.599
D1007.5	0.19	8.05	0.769
D1007.8	-0.424	6.02	0.758
D1014.2	0.809	6.15	0.544
D1014.4	0.735	6.67	0.521
D1022.4	-0.227	5.49	0.899
D1025.1	2.9	4.22	0.239
D1037.1	-0.296	6.83	0.815
D1043.1	-0.0102	7.86	0.993
D1044.2	-2.7	1.62	0.275
D1044.6	0.432	8.66	0.438
D1046.2	-0.329	8.33	0.562
D1046.3	1.51	7.2	0.121
D1046.5	-0.58	3.13	0.805
D1054.1	-0.536	5.01	0.798
D1054.14	0.0958	7.75	0.893
D1054.3	-0.188	7.05	0.844
D1069.3	0.103	4.75	0.967
D1069.4	3.8	2.7	0.142
D1081.6	0.32	6.9	0.764
D1081.7	0.241	9.56	0.607
D1081.8	-0.482	7.94	0.447
D1081.9	-0.324	4.32	0.896
D2005.3	1.09	6.16	0.452
D2005.4	-0.31	7.82	0.761
D2005.7	1.49	6.33	0.272
D2007.1	0.809	4.77	0.663
D2007.4	1.29	6.34	0.327
D2013.3	1.35	6.8	0.224
D2013.6	-0.926	6.08	0.526
D2023.4	-4.17	4.55	0.0646
D2023.5	1.4	6.1	0.346
D2023.6	0.427	8.83	0.381
D2024.5	0.65	6.96	0.525
D2030.1	-0.604	8.28	0.271
D2030.11	0.513	5.26	0.763
D2030.2	-0.285	7.92	0.648
D2030.3	0.758	8.09	0.191
D2030.4	-0.214	5.6	0.898
D2030.7	-0.165	9.13	0.734
D2030.8	0.562	7.69	0.46
D2045.2	0.503	5.72	0.75
D2045.7	3.61	3.68	0.126
D2045.9	-3.93	2.49	0.123
D2063.3	0.414	7.27	0.626
D2085.3	0.153	7.57	0.842
D2085.4	-0.117	7.61	0.872
D2085.5	0.296	7.66	0.693
D2085.6	0.19	8.04	0.747
D2092.4	1.41	4.56	0.525
D2092.5	-0.56	6.71	0.635
D2096.12	-1.02	7.2	0.296
D2096.7	0.72	6.16	0.609
D2096.8	0.296	8.91	0.532
dab-1	0.277	9.62	0.552
dad-1	-0.0131	8.06	0.988
daf-1	0.783	6.87	0.445
daf-14	0.692	3.69	0.776
daf-15	0.487	9.26	0.34
daf-16	0.907	8.12	0.117
daf-18	0.101	9.74	0.828
daf-19	-0.123	7.18	0.895
daf-2	2.18	4.59	0.377
daf-21	0.26	9.91	0.577
daf-25	-0.32	6.2	0.819
daf-3	1.99	6.24	0.267
daf-4	-0.00645	6.89	0.998
daf-5	-0.39	5.45	0.846
dao-3	-1.04	6.04	0.5
dao-5	0.178	8.39	0.762
dap-3	0.525	4.81	0.775
dars-1	0.946	8.43	0.0917
dars-2	-0.744	7.4	0.352
daz-1	0.168	9.51	0.723
dbr-1	-0.629	7.24	0.522
DC2.3	0.508	6.4	0.683
DC2.8	2.37	5.07	0.311
dcaf-1	0.858	8.34	0.143
dcap-1	0.531	7.57	0.478
dcap-2	-0.502	7.52	0.577
dcn-1	0.267	8.08	0.659
dcp-66	-2.92	5.84	0.0786
dcr-1	-1.48	7.79	0.0856
dcs-1	-0.00488	6.6	1
dct-1	0.574	6.54	0.626
dct-13	-2.77	1.64	0.266
dct-18	-2.65	1.94	0.267
dct-6	2.98	3.03	0.235
ddb-1	0.116	8.69	0.815
ddl-1	1.65	5.28	0.349
