	logFC	logCPM	PValue
asb-1	0.505	8.37	0.355
asb-2	-0.143	6.74	0.899
asc-1	1.57	6.2	0.341
asd-1	-0.0105	6.84	0.995
asd-2	0.0761	6.21	0.974
asfl-1	1.32	7.41	0.109
asg-1	0.621	6.7	0.613
asg-2	-0.169	5.08	0.929
ash-2	0.951	7.13	0.3
asna-1	0.616	7.11	0.512
asna-2	4.03	5.84	0.0781
aspm-1	-0.545	7.62	0.511
atad-3	0.395	7.45	0.614
atf-6	-3.06	5.39	0.14
atf-7	0.761	8.94	0.131
atg-11	0.0104	6.76	0.996
atg-13	-0.11	7.87	0.869
atg-16.1	1.09	6.78	0.323
atg-16.2	0.46	7.82	0.499
atg-18	0.863	8.72	0.112
atg-2	-0.403	5.92	0.807
atg-3	0.748	6.75	0.518
atg-4.1	-1.98	4.43	0.312
atg-4.2	-0.821	6.83	0.464
atg-5	-0.409	6.13	0.762
atg-7	0.618	7.74	0.375
atg-9	-5.34	3.67	0.0342
atgp-1	2.09	4.52	0.385
atgp-2	2.04	5.49	0.255
ath-1	-0.123	6.61	0.917
athp-1	0.41	5.8	0.784
atl-1	-0.61	7.26	0.516
atm-1	-0.68	6.28	0.617
atp-2	0.175	10.1	0.704
atp-3	0.701	8.62	0.211
atp-4	0.243	6.71	0.827
atp-5	0.315	8.12	0.602
atx-2	0.502	8.02	0.411
atx-3	-0.8	7.14	0.376
ave-1	0.147	4.89	0.941
B0001.2	1.76	8.78	0.00264
B0001.3	-0.32	6.22	0.825
B0001.4	0.48	7.08	0.607
B0001.5	-0.366	7.17	0.702
B0001.6	0.304	6.84	0.773
B0001.7	0.125	7.92	0.842
B0001.8	-0.359	7.23	0.675
B0019.2	-0.81	7.23	0.35
B0024.10	0.378	7.14	0.677
B0024.11	0.273	7.93	0.663
B0024.13	0.698	7.42	0.38
B0024.3	2.13	4.8	0.381
B0025.4	-0.337	6.36	0.801
B0035.1	0.227	7.89	0.736
B0035.11	0.437	8.35	0.435
B0035.12	1.21	8.14	0.0405
B0035.15	1.33	7.3	0.133
B0035.16	-1.24	4.55	0.594
B0035.18	1.21	4.16	0.561
B0035.3	0.0139	8.78	0.981
B0035.6	0.355	9.19	0.483
B0041.3	0.442	3.05	0.846
B0041.5	0.198	8.19	0.72
B0041.8	0.22	8.7	0.67
B0205.1	-0.592	7.87	0.383
B0205.11	0.368	7.09	0.724
B0205.6	-0.176	5.32	0.922
B0205.8	0.56	5.42	0.734
B0205.9	-0.377	7.67	0.587
B0207.6	0.936	7.39	0.3
B0212.3	-0.293	6.16	0.875
B0228.6	0.737	3.75	0.771
B0228.7	3.9	2.27	0.145
B0238.1	3.2	4.17	0.206
B0238.10	1.26	7.33	0.163
B0238.11	0.787	8.09	0.205
B0238.15	-3.64	3.69	0.111
B0238.9	0.454	8.01	0.451
